item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,M,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,L,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XL,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XXL,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500,S,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arc_teryx_pants_beta_sv_pant_men_s_black.jpg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500,M,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arc_teryx_pants_beta_sv_pant_men_s_black.jpg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500,L,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arc_teryx_pants_beta_sv_pant_men_s_black.jpg
BETA SV PANT MEN'S,Arc'teryx,pants,Men,5,500,XL,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-sv-pant-0280,product_images/arc_teryx_pants_beta_sv_pant_men_s_black.jpg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700,S,Red,Shell Bib,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arc_teryx_pants_alpha_sv_bib_pant_men_s_red.jpg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700,M,Red,Shell Bib,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arc_teryx_pants_alpha_sv_bib_pant_men_s_red.jpg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700,L,Red,Shell Bib,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arc_teryx_pants_alpha_sv_bib_pant_men_s_red.jpg
ALPHA SV BIB PANT MEN'S,Arc'teryx,pants,Men,5,700,XL,Red,Shell Bib,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900,product_images/arc_teryx_pants_alpha_sv_bib_pant_men_s_red.jpg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450,S,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arc_teryx_pants_sabre_pant_men_s_blue.jpg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450,M,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arc_teryx_pants_sabre_pant_men_s_blue.jpg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450,L,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arc_teryx_pants_sabre_pant_men_s_blue.jpg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450,XL,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arc_teryx_pants_sabre_pant_men_s_blue.jpg
SABRE PANT MEN'S,Arc'teryx,pants,Men,5,450,XXL,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/sabre-pant-8928,product_images/arc_teryx_pants_sabre_pant_men_s_blue.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,S,Grey,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_grey.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,M,Grey,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_grey.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,L,Grey,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_grey.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,XL,Grey,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_grey.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,S,Black,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_black.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,M,Black,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_black.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,L,Black,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_black.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,XL,Black,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_black.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,S,Orange,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_orange.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,M,Orange,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_orange.jpg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200,L,Orange,Insulated,4,4,2/7/26,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arc_teryx_gloves_fission_sv_glove_orange.jpg
